Issue Type,Summary,Epic Name,Epic Link,Priority,Labels,Description,Acceptance Criteria
Story,Add issue templates,,Community Contribution System,Medium,"community","Create templates for factual correction, source improvement, new technology, expert review, and bug.",".github issue templates exist."
Story,Add pull request template,,Community Contribution System,Medium,"community","Require source list, validation proof, risk notes, and affected nodes.","PR template exists."
Story,Add contribution missions board,,Community Contribution System,Medium,"community,content","Define contributor tasks like needs diagram, needs source, needs review.","Docs or UI lists contribution missions."
Story,Add expert profile model,,Community Contribution System,Low,"community,verification","Support optional expert reviewer profiles.","Schema/design exists for reviewer identity."
Story,Add translation strategy,,Community Contribution System,Low,"community,offline","Plan translations for long-term global usefulness.","docs includes translation strategy."
Story,Add route-level code splitting,,Offline and Distribution,High,"infrastructure,offline","Reduce main bundle size by lazy loading routes.","Build warning reduced or eliminated."
Story,Add data lazy loading,,Offline and Distribution,High,"infrastructure,offline","Load index summaries first and full JSON on demand.","Initial bundle/data weight decreases."
Story,Add generated search index,,Offline and Distribution,Medium,"search,infrastructure","Generate compact static search index at build time.","Search uses generated index."
Story,Add JSON Schema export,,Offline and Distribution,Medium,"schema,infrastructure","Publish JSON Schema for contributor editors.","Schema file exists and docs link to it."
Story,Add migration scripts,,Offline and Distribution,Medium,"schema,infrastructure","Make schema evolution safe.","Scripts migrate older entries."
Story,Add PWA offline test,,Offline and Distribution,High,"offline,infrastructure","Automatically verify core pages work offline after installation/cache.","Test exists or documented check is automated."
Story,Add static mirror guide,,Offline and Distribution,Medium,"offline,community","Document USB/local network/static mirror workflow.","docs includes mirror guide."
Story,Add book/PDF generation plan,,Offline and Distribution,Medium,"print,offline","Plan a static field manual generated from data.","docs includes book generation plan."
